12:24:23: Warning:QMetaObject::connectSlotsByName: No matching signal for on_pushButton_clicked()
12:24:23: Debug:mac: "708BCD81C560"
12:24:25: Debug:taskList lists: 0x27006a0
12:24:25: Debug:taskList lists: 0x27006b0
12:29:56: Debug:upload phone info "[]"
12:30:00: Debug:upload phone info "[]"
12:30:00: Debug:upload phone info "[]"
12:30:04: Debug:upload phone info "[]"
12:30:04: Debug:upload phone info "[]"
12:30:08: Debug:upload phone info "[]"
12:30:08: Debug:upload phone info "[]"
12:30:12: Debug:upload phone info "[]"
12:30:12: Debug:upload phone info "[]"
12:30:16: Debug:upload phone info "[]"
12:30:16: Debug:upload phone info "[]"
12:30:20: Debug:upload phone info "[]"
12:30:20: Debug:upload phone info "[]"
12:30:24: Debug:upload phone info "[]"
12:30:24: Debug:upload phone info "[]"
12:30:28: Debug:upload phone info "[]"
12:30:28: Debug:upload phone info "[]"
12:30:32: Debug:upload phone info "[]"
12:30:32: Debug:upload phone info "[]"
12:30:36: Debug:upload phone info "[]"
12:30:36: Debug:upload phone info "[]"
12:30:40: Debug:upload phone info "[]"
12:30:40: Debug:upload phone info "[]"
12:30:44: Debug:upload phone info "[]"
12:30:44: Debug:upload phone info "[]"
12:30:48: Debug:upload phone info "[]"
12:30:48: Debug:upload phone info "[]"
12:30:52: Debug:upload phone info "[]"
12:30:52: Debug:upload phone info "[]"
12:30:56: Debug:upload phone info "[]"
12:30:56: Debug:upload phone info "[]"
12:31:00: Debug:upload phone info "[]"
12:31:00: Debug:upload phone info "[]"
12:31:04: Debug:upload phone info "[]"
12:31:04: Debug:upload phone info "[]"
12:31:08: Debug:upload phone info "[]"
12:31:08: Debug:upload phone info "[]"
12:31:12: Debug:upload phone info "[]"
12:31:12: Debug:upload phone info "[]"
12:31:16: Debug:upload phone info "[]"
12:31:16: Debug:upload phone info "[]"
12:31:20: Debug:upload phone info "[]"
12:31:20: Debug:upload phone info "[]"
12:31:24: Debug:upload phone info "[]"
12:31:24: Debug:upload phone info "[]"
12:31:28: Debug:upload phone info "[]"
12:31:28: Debug:upload phone info "[]"
12:31:32: Debug:upload phone info "[]"
12:31:32: Debug:upload phone info "[]"
12:31:36: Debug:upload phone info "[]"
12:31:36: Debug:upload phone info "[]"
12:31:40: Debug:upload phone info "[]"
12:31:40: Debug:upload phone info "[]"
12:31:44: Debug:upload phone info "[]"
12:31:44: Debug:upload phone info "[]"
12:31:48: Debug:upload phone info "[]"
12:31:48: Debug:upload phone info "[]"
12:31:52: Debug:upload phone info "[]"
12:31:52: Debug:upload phone info "[]"
12:31:56: Debug:upload phone info "[]"
12:31:56: Debug:upload phone info "[]"
12:32:00: Debug:upload phone info "[]"
12:32:00: Debug:upload phone info "[]"
12:32:04: Debug:upload phone info "[]"
12:32:04: Debug:upload phone info "[]"
12:32:08: Debug:upload phone info "[]"
12:32:08: Debug:upload phone info "[]"
12:32:12: Debug:upload phone info "[]"
12:32:12: Debug:upload phone info "[]"
12:32:16: Debug:upload phone info "[]"
12:32:16: Debug:upload phone info "[]"
12:32:20: Debug:upload phone info "[]"
12:32:20: Debug:upload phone info "[]"
12:32:24: Debug:upload phone info "[]"
12:32:24: Debug:upload phone info "[]"
12:32:28: Debug:upload phone info "[]"
12:32:28: Debug:upload phone info "[]"
12:32:32: Debug:upload phone info "[]"
12:32:32: Debug:upload phone info "[]"
12:32:36: Debug:upload phone info "[]"
12:32:36: Debug:upload phone info "[]"
12:32:40: Debug:upload phone info "[]"
12:32:40: Debug:upload phone info "[]"
12:32:44: Debug:upload phone info "[]"
12:32:44: Debug:upload phone info "[]"
12:32:48: Debug:upload phone info "[]"
12:32:48: Debug:upload phone info "[]"
12:32:52: Debug:upload phone info "[]"
12:32:52: Debug:upload phone info "[]"
12:32:56: Debug:upload phone info "[]"
12:32:56: Debug:upload phone info "[]"
12:33:00: Debug:upload phone info "[]"
12:33:00: Debug:upload phone info "[]"
12:33:04: Debug:upload phone info "[]"
12:33:04: Debug:upload phone info "[]"
12:33:08: Debug:upload phone info "[]"
12:33:08: Debug:upload phone info "[]"
12:33:12: Debug:upload phone info "[]"
12:33:12: Debug:upload phone info "[]"
12:33:16: Debug:upload phone info "[]"
12:33:16: Debug:upload phone info "[]"
12:33:20: Debug:upload phone info "[]"
12:33:20: Debug:upload phone info "[]"
12:33:24: Debug:upload phone info "[]"
12:33:24: Debug:upload phone info "[]"
12:33:28: Debug:upload phone info "[]"
12:33:28: Debug:upload phone info "[]"
12:33:32: Debug:upload phone info "[]"
12:33:32: Debug:upload phone info "[]"
12:33:36: Debug:upload phone info "[]"
12:33:36: Debug:upload phone info "[]"
12:33:40: Debug:upload phone info "[]"
12:33:40: Debug:upload phone info "[]"
12:33:44: Debug:upload phone info "[]"
12:33:44: Debug:upload phone info "[]"
12:33:48: Debug:upload phone info "[]"
12:33:48: Debug:upload phone info "[]"
12:33:52: Debug:upload phone info "[]"
12:33:52: Debug:upload phone info "[]"
12:33:56: Debug:upload phone info "[]"
12:33:56: Debug:upload phone info "[]"
12:34:00: Debug:upload phone info "[]"
12:34:00: Debug:upload phone info "[]"
12:34:04: Debug:upload phone info "[]"
12:34:04: Debug:upload phone info "[]"
12:34:08: Debug:upload phone info "[]"
12:34:08: Debug:upload phone info "[]"
12:34:12: Debug:upload phone info "[]"
12:34:12: Debug:upload phone info "[]"
12:34:16: Debug:upload phone info "[]"
12:34:16: Debug:upload phone info "[]"
12:34:20: Debug:upload phone info "[]"
12:34:20: Debug:upload phone info "[]"
12:34:24: Debug:upload phone info "[]"
12:34:24: Debug:upload phone info "[]"
12:34:28: Debug:upload phone info "[]"
12:34:28: Debug:upload phone info "[]"
12:34:32: Debug:upload phone info "[]"
12:34:32: Debug:upload phone info "[]"
12:34:36: Debug:upload phone info "[]"
12:34:36: Debug:upload phone info "[]"
12:34:40: Debug:upload phone info "[]"
12:34:40: Debug:upload phone info "[]"
12:34:44: Debug:upload phone info "[]"
12:34:44: Debug:upload phone info "[]"
12:34:48: Debug:upload phone info "[]"
12:34:48: Debug:upload phone info "[]"
12:34:52: Debug:upload phone info "[]"
12:34:52: Debug:upload phone info "[]"
12:34:57: Debug:upload phone info "[]"
12:34:57: Debug:upload phone info "[]"
12:35:00: Debug:upload phone info "[]"
12:35:00: Debug:upload phone info "[]"
12:35:04: Debug:upload phone info "[]"
12:35:04: Debug:upload phone info "[]"
12:35:09: Debug:upload phone info "[]"
12:35:09: Debug:upload phone info "[]"
12:35:13: Debug:upload phone info "[]"
12:35:13: Debug:upload phone info "[]"
12:35:16: Debug:upload phone info "[]"
12:35:17: Debug:upload phone info "[]"
12:35:21: Debug:upload phone info "[]"
12:35:21: Debug:upload phone info "[]"
12:35:25: Debug:upload phone info "[]"
12:35:25: Debug:upload phone info "[]"
12:35:29: Debug:upload phone info "[]"
12:35:29: Debug:upload phone info "[]"
12:35:33: Debug:upload phone info "[]"
12:35:33: Debug:upload phone info "[]"
12:35:37: Debug:upload phone info "[]"
12:35:37: Debug:upload phone info "[]"
12:35:41: Debug:upload phone info "[]"
12:35:41: Debug:upload phone info "[]"
12:35:45: Debug:upload phone info "[]"
12:35:45: Debug:upload phone info "[]"
12:35:49: Debug:upload phone info "[]"
12:35:49: Debug:upload phone info "[]"
12:35:53: Debug:upload phone info "[]"
12:35:53: Debug:upload phone info "[]"
12:35:57: Debug:upload phone info "[]"
12:35:57: Debug:upload phone info "[]"
12:36:01: Debug:upload phone info "[]"
12:36:01: Debug:upload phone info "[]"
12:36:05: Debug:upload phone info "[]"
12:36:05: Debug:upload phone info "[]"
12:36:09: Debug:upload phone info "[]"
12:36:09: Debug:upload phone info "[]"
12:36:13: Debug:upload phone info "[]"
12:36:13: Debug:upload phone info "[]"
12:36:17: Debug:upload phone info "[]"
12:36:17: Debug:upload phone info "[]"
12:36:21: Debug:upload phone info "[]"
12:36:21: Debug:upload phone info "[]"
12:36:25: Debug:upload phone info "[]"
12:36:25: Debug:upload phone info "[]"
12:36:29: Debug:upload phone info "[]"
12:36:29: Debug:upload phone info "[]"
12:36:33: Debug:upload phone info "[]"
12:36:33: Debug:upload phone info "[]"
12:36:37: Debug:upload phone info "[]"
12:36:37: Debug:upload phone info "[]"
12:36:41: Debug:upload phone info "[]"
12:36:41: Debug:upload phone info "[]"
12:36:45: Debug:upload phone info "[]"
12:36:45: Debug:upload phone info "[]"
12:36:49: Debug:upload phone info "[]"
12:36:49: Debug:upload phone info "[]"
12:36:53: Debug:upload phone info "[]"
12:36:53: Debug:upload phone info "[]"
12:36:57: Debug:upload phone info "[]"
12:36:57: Debug:upload phone info "[]"
12:37:01: Debug:upload phone info "[]"
12:37:01: Debug:upload phone info "[]"
12:37:05: Debug:upload phone info "[]"
12:37:05: Debug:upload phone info "[]"
12:37:09: Debug:upload phone info "[]"
12:37:09: Debug:upload phone info "[]"
12:37:13: Debug:upload phone info "[]"
12:37:13: Debug:upload phone info "[]"
12:37:17: Debug:upload phone info "[]"
12:37:17: Debug:upload phone info "[]"
12:37:21: Debug:upload phone info "[]"
12:37:21: Debug:upload phone info "[]"
12:37:25: Debug:upload phone info "[]"
12:37:25: Debug:upload phone info "[]"
12:37:29: Debug:upload phone info "[]"
12:37:29: Debug:upload phone info "[]"
12:37:33: Debug:upload phone info "[]"
12:37:33: Debug:upload phone info "[]"
12:37:37: Debug:upload phone info "[]"
12:37:37: Debug:upload phone info "[]"
12:37:41: Debug:upload phone info "[]"
12:37:41: Debug:upload phone info "[]"
12:37:45: Debug:upload phone info "[]"
12:37:45: Debug:upload phone info "[]"
12:37:49: Debug:upload phone info "[]"
12:37:49: Debug:upload phone info "[]"
12:37:53: Debug:upload phone info "[]"
12:37:53: Debug:upload phone info "[]"
12:37:57: Debug:upload phone info "[]"
12:37:57: Debug:upload phone info "[]"
12:38:01: Debug:upload phone info "[]"
12:38:01: Debug:upload phone info "[]"
12:38:05: Debug:upload phone info "[]"
12:38:05: Debug:upload phone info "[]"
12:38:09: Debug:upload phone info "[]"
12:38:09: Debug:upload phone info "[]"
12:38:13: Debug:upload phone info "[]"
12:38:13: Debug:upload phone info "[]"
12:38:17: Debug:upload phone info "[]"
12:38:17: Debug:upload phone info "[]"
12:38:21: Debug:upload phone info "[]"
12:38:21: Debug:upload phone info "[]"
12:38:25: Debug:upload phone info "[]"
12:38:25: Debug:upload phone info "[]"
12:38:29: Debug:upload phone info "[]"
12:38:29: Debug:upload phone info "[]"
12:38:33: Debug:upload phone info "[]"
12:38:33: Debug:upload phone info "[]"
12:38:37: Debug:upload phone info "[]"
12:38:37: Debug:upload phone info "[]"
12:38:41: Debug:upload phone info "[]"
12:38:41: Debug:upload phone info "[]"
12:38:45: Debug:upload phone info "[]"
12:38:45: Debug:upload phone info "[]"
12:38:49: Debug:upload phone info "[]"
12:38:49: Debug:upload phone info "[]"
12:38:53: Debug:upload phone info "[]"
12:38:53: Debug:upload phone info "[]"
12:38:57: Debug:upload phone info "[]"
12:38:57: Debug:upload phone info "[]"
12:39:01: Debug:upload phone info "[]"
12:39:01: Debug:upload phone info "[]"
12:39:05: Debug:upload phone info "[]"
12:39:05: Debug:upload phone info "[]"
12:39:09: Debug:upload phone info "[]"
12:39:09: Debug:upload phone info "[]"
12:39:13: Debug:upload phone info "[]"
12:39:13: Debug:upload phone info "[]"
12:39:17: Debug:upload phone info "[]"
12:39:17: Debug:upload phone info "[]"
12:39:21: Debug:upload phone info "[]"
12:39:21: Debug:upload phone info "[]"
12:39:25: Debug:upload phone info "[]"
12:39:25: Debug:upload phone info "[]"
12:39:29: Debug:upload phone info "[]"
12:39:29: Debug:upload phone info "[]"
12:39:33: Debug:upload phone info "[]"
12:39:33: Debug:upload phone info "[]"
12:39:37: Debug:upload phone info "[]"
12:39:37: Debug:upload phone info "[]"
12:39:41: Debug:upload phone info "[]"
12:39:41: Debug:upload phone info "[]"
12:39:45: Debug:upload phone info "[]"
12:39:45: Debug:upload phone info "[]"
12:39:49: Debug:upload phone info "[]"
12:39:49: Debug:upload phone info "[]"
12:39:53: Debug:upload phone info "[]"
12:39:53: Debug:upload phone info "[]"
12:39:57: Debug:upload phone info "[]"
12:39:57: Debug:upload phone info "[]"
12:40:01: Debug:upload phone info "[]"
12:40:01: Debug:upload phone info "[]"
12:40:05: Debug:upload phone info "[]"
12:40:05: Debug:upload phone info "[]"
12:40:09: Debug:upload phone info "[]"
12:40:09: Debug:upload phone info "[]"
12:40:13: Debug:upload phone info "[]"
12:40:13: Debug:upload phone info "[]"
12:40:17: Debug:upload phone info "[]"
12:40:17: Debug:upload phone info "[]"
12:40:21: Debug:upload phone info "[]"
12:40:21: Debug:upload phone info "[]"
12:40:25: Debug:upload phone info "[]"
12:40:25: Debug:upload phone info "[]"
12:40:29: Debug:upload phone info "[]"
12:40:29: Debug:upload phone info "[]"
12:40:33: Debug:upload phone info "[]"
12:40:33: Debug:upload phone info "[]"
12:40:37: Debug:upload phone info "[]"
12:40:37: Debug:upload phone info "[]"
12:40:41: Debug:upload phone info "[]"
12:40:41: Debug:upload phone info "[]"
12:40:45: Debug:upload phone info "[]"
12:40:45: Debug:upload phone info "[]"
12:40:49: Debug:upload phone info "[]"
12:40:49: Debug:upload phone info "[]"
12:40:53: Debug:upload phone info "[]"
12:40:53: Debug:upload phone info "[]"
12:40:57: Debug:upload phone info "[]"
12:40:57: Debug:upload phone info "[]"
12:41:01: Debug:upload phone info "[]"
12:41:01: Debug:upload phone info "[]"
12:41:05: Debug:upload phone info "[]"
12:41:05: Debug:upload phone info "[]"
12:41:09: Debug:upload phone info "[]"
12:41:09: Debug:upload phone info "[]"
12:41:13: Debug:upload phone info "[]"
12:41:13: Debug:upload phone info "[]"
12:41:17: Debug:upload phone info "[]"
12:41:17: Debug:upload phone info "[]"
12:41:21: Debug:upload phone info "[]"
12:41:21: Debug:upload phone info "[]"
12:41:25: Debug:upload phone info "[]"
12:41:25: Debug:upload phone info "[]"
12:41:29: Debug:upload phone info "[]"
12:41:29: Debug:upload phone info "[]"
12:41:33: Debug:upload phone info "[]"
12:41:33: Debug:upload phone info "[]"
12:41:37: Debug:upload phone info "[]"
12:41:37: Debug:upload phone info "[]"
12:41:41: Debug:upload phone info "[]"
12:41:41: Debug:upload phone info "[]"
12:41:45: Debug:upload phone info "[]"
12:41:45: Debug:upload phone info "[]"
12:41:49: Debug:upload phone info "[]"
12:41:49: Debug:upload phone info "[]"
12:41:53: Debug:upload phone info "[]"
12:41:53: Debug:upload phone info "[]"
12:41:57: Debug:upload phone info "[]"
12:41:57: Debug:upload phone info "[]"
12:42:01: Debug:upload phone info "[]"
12:42:01: Debug:upload phone info "[]"
12:42:06: Debug:upload phone info "[]"
12:42:06: Debug:upload phone info "[]"
12:42:09: Debug:upload phone info "[]"
12:42:09: Debug:upload phone info "[]"
12:42:13: Debug:upload phone info "[]"
12:42:13: Debug:upload phone info "[]"
12:42:18: Debug:upload phone info "[]"
12:42:18: Debug:upload phone info "[]"
12:42:22: Debug:upload phone info "[]"
12:42:22: Debug:upload phone info "[]"
12:42:26: Debug:upload phone info "[]"
12:42:26: Debug:upload phone info "[]"
12:42:29: Debug:upload phone info "[]"
12:42:29: Debug:upload phone info "[]"
12:42:34: Debug:upload phone info "[]"
12:42:34: Debug:upload phone info "[]"
12:42:38: Debug:upload phone info "[]"
12:42:38: Debug:upload phone info "[]"
12:42:42: Debug:upload phone info "[]"
12:42:42: Debug:upload phone info "[]"
12:42:46: Debug:upload phone info "[]"
12:42:46: Debug:upload phone info "[]"
12:42:50: Debug:upload phone info "[]"
12:42:50: Debug:upload phone info "[]"
12:42:54: Debug:upload phone info "[]"
12:42:54: Debug:upload phone info "[]"
12:42:58: Debug:upload phone info "[]"
12:42:58: Debug:upload phone info "[]"
12:43:02: Debug:upload phone info "[]"
12:43:02: Debug:upload phone info "[]"
12:43:06: Debug:upload phone info "[]"
12:43:06: Debug:upload phone info "[]"
12:43:10: Debug:upload phone info "[]"
12:43:10: Debug:upload phone info "[]"
12:43:14: Debug:upload phone info "[]"
12:43:14: Debug:upload phone info "[]"
12:43:18: Debug:upload phone info "[]"
12:43:18: Debug:upload phone info "[]"
12:43:22: Debug:upload phone info "[]"
12:43:22: Debug:upload phone info "[]"
12:43:26: Debug:upload phone info "[]"
12:43:26: Debug:upload phone info "[]"
12:43:30: Debug:upload phone info "[]"
12:43:30: Debug:upload phone info "[]"
12:43:34: Debug:upload phone info "[]"
12:43:34: Debug:upload phone info "[]"
12:43:38: Debug:upload phone info "[]"
12:43:38: Debug:upload phone info "[]"
12:43:42: Debug:upload phone info "[]"
12:43:42: Debug:upload phone info "[]"
12:43:46: Debug:upload phone info "[]"
12:43:46: Debug:upload phone info "[]"
12:43:50: Debug:upload phone info "[]"
12:43:50: Debug:upload phone info "[]"
12:43:54: Debug:upload phone info "[]"
12:43:54: Debug:upload phone info "[]"
12:43:58: Debug:upload phone info "[]"
12:43:58: Debug:upload phone info "[]"
12:44:02: Debug:upload phone info "[]"
12:44:02: Debug:upload phone info "[]"
12:44:06: Debug:upload phone info "[]"
12:44:06: Debug:upload phone info "[]"
12:44:10: Debug:upload phone info "[]"
12:44:10: Debug:upload phone info "[]"
12:44:14: Debug:upload phone info "[]"
12:44:14: Debug:upload phone info "[]"
12:44:18: Debug:upload phone info "[]"
12:44:18: Debug:upload phone info "[]"
12:44:22: Debug:upload phone info "[]"
12:44:22: Debug:upload phone info "[]"
12:44:26: Debug:upload phone info "[]"
12:44:26: Debug:upload phone info "[]"
12:44:30: Debug:upload phone info "[]"
12:44:30: Debug:upload phone info "[]"
12:44:34: Debug:upload phone info "[]"
12:44:34: Debug:upload phone info "[]"
12:44:38: Debug:upload phone info "[]"
12:44:38: Debug:upload phone info "[]"
12:44:42: Debug:upload phone info "[]"
12:44:42: Debug:upload phone info "[]"
12:44:46: Debug:upload phone info "[]"
12:44:46: Debug:upload phone info "[]"
12:44:50: Debug:upload phone info "[]"
12:44:50: Debug:upload phone info "[]"
12:44:54: Debug:upload phone info "[]"
12:44:54: Debug:upload phone info "[]"
12:44:58: Debug:upload phone info "[]"
12:44:58: Debug:upload phone info "[]"
12:45:02: Debug:upload phone info "[]"
12:45:02: Debug:upload phone info "[]"
12:45:06: Debug:upload phone info "[]"
12:45:06: Debug:upload phone info "[]"
12:45:10: Debug:upload phone info "[]"
12:45:10: Debug:upload phone info "[]"
12:45:14: Debug:upload phone info "[]"
12:45:14: Debug:upload phone info "[]"
12:45:18: Debug:upload phone info "[]"
12:45:18: Debug:upload phone info "[]"
12:45:22: Debug:upload phone info "[]"
12:45:22: Debug:upload phone info "[]"
12:45:26: Debug:upload phone info "[]"
12:45:26: Debug:upload phone info "[]"
12:45:30: Debug:upload phone info "[]"
12:45:30: Debug:upload phone info "[]"
12:45:34: Debug:upload phone info "[]"
12:45:34: Debug:upload phone info "[]"
12:45:38: Debug:upload phone info "[]"
12:45:38: Debug:upload phone info "[]"
12:45:42: Debug:upload phone info "[]"
12:45:42: Debug:upload phone info "[]"
12:45:46: Debug:upload phone info "[]"
12:45:46: Debug:upload phone info "[]"
12:45:50: Debug:upload phone info "[]"
12:45:50: Debug:upload phone info "[]"
12:45:54: Debug:upload phone info "[]"
12:45:54: Debug:upload phone info "[]"
12:45:58: Debug:upload phone info "[]"
12:45:58: Debug:upload phone info "[]"
12:46:02: Debug:upload phone info "[]"
12:46:02: Debug:upload phone info "[]"
12:46:06: Debug:upload phone info "[]"
12:46:06: Debug:upload phone info "[]"
12:46:10: Debug:upload phone info "[]"
12:46:10: Debug:upload phone info "[]"
12:46:14: Debug:upload phone info "[]"
12:46:14: Debug:upload phone info "[]"
12:46:18: Debug:upload phone info "[]"
12:46:18: Debug:upload phone info "[]"
12:46:22: Debug:upload phone info "[]"
12:46:22: Debug:upload phone info "[]"
12:46:26: Debug:upload phone info "[]"
12:46:26: Debug:upload phone info "[]"
12:46:30: Debug:upload phone info "[]"
12:46:30: Debug:upload phone info "[]"
12:46:34: Debug:upload phone info "[]"
12:46:34: Debug:upload phone info "[]"
12:46:38: Debug:upload phone info "[]"
12:46:38: Debug:upload phone info "[]"
12:46:42: Debug:upload phone info "[]"
12:46:42: Debug:upload phone info "[]"
12:46:46: Debug:upload phone info "[]"
12:46:46: Debug:upload phone info "[]"
12:46:50: Debug:upload phone info "[]"
12:46:50: Debug:upload phone info "[]"
12:46:54: Debug:upload phone info "[]"
12:46:54: Debug:upload phone info "[]"
12:46:58: Debug:upload phone info "[]"
12:46:58: Debug:upload phone info "[]"
12:47:02: Debug:upload phone info "[]"
12:47:02: Debug:upload phone info "[]"
12:47:06: Debug:upload phone info "[]"
12:47:06: Debug:upload phone info "[]"
12:47:10: Debug:upload phone info "[]"
12:47:10: Debug:upload phone info "[]"
12:47:14: Debug:upload phone info "[]"
12:47:14: Debug:upload phone info "[]"
